round,train_loss,eval_loss,eta
0,2.006354,2.000237,0.001
0,2.006354,2.000237,0.001
1,2.006342,2.000222,0.001
1,2.006342,2.000222,0.001
2,2.006326,2.000204,0.001
2,2.006326,2.000204,0.001
3,2.006305,2.000183,0.001
3,2.006305,2.000183,0.001
4,2.006283,2.000161,0.001
4,2.006283,2.000161,0.001
5,2.006274,2.000151,0.001
5,2.006274,2.000151,0.001
6,2.006258,2.000135,0.001
6,2.006258,2.000135,0.001
7,2.006233,2.000113,0.001
7,2.006233,2.000113,0.001
8,2.006224,2.000104,0.001
8,2.006224,2.000104,0.001
9,2.006211,2.000090,0.001
9,2.006211,2.000090,0.001
10,2.006190,2.000068,0.001
10,2.006190,2.000068,0.001
11,2.006152,2.000030,0.001
11,2.006152,2.000030,0.001
12,2.006136,2.000016,0.001
12,2.006136,2.000016,0.001
13,2.006109,1.999988,0.001
13,2.006109,1.999988,0.001
14,2.006098,1.999976,0.001
14,2.006098,1.999976,0.001
15,2.006094,1.999972,0.001
15,2.006094,1.999972,0.001
16,2.006089,1.999967,0.001
16,2.006089,1.999967,0.001
17,2.006047,1.999928,0.001
17,2.006047,1.999928,0.001
18,2.006009,1.999891,0.001
18,2.006009,1.999891,0.001
19,2.005995,1.999878,0.001
19,2.005995,1.999878,0.001
20,2.005974,1.999855,0.001
20,2.005974,1.999855,0.001
21,2.005948,1.999828,0.001
21,2.005948,1.999828,0.001
22,2.005939,1.999819,0.001
22,2.005939,1.999819,0.001
23,2.005914,1.999796,0.001
23,2.005914,1.999796,0.001
24,2.005891,1.999771,0.001
24,2.005891,1.999771,0.001
25,2.005837,1.999719,0.001
25,2.005837,1.999719,0.001
26,2.005822,1.999705,0.001
26,2.005822,1.999705,0.001
27,2.005817,1.999699,0.001
27,2.005817,1.999699,0.001
28,2.005805,1.999688,0.001
28,2.005805,1.999688,0.001
29,2.005753,1.999637,0.001
29,2.005753,1.999637,0.001
30,2.005731,1.999619,0.001
30,2.005731,1.999619,0.001
31,2.005718,1.999607,0.001
31,2.005718,1.999607,0.001
32,2.005701,1.999590,0.001
32,2.005701,1.999590,0.001
33,2.005689,1.999578,0.001
33,2.005689,1.999578,0.001
34,2.005672,1.999559,0.001
34,2.005672,1.999559,0.001
35,2.005639,1.999529,0.001
35,2.005639,1.999529,0.001
36,2.005630,1.999521,0.001
36,2.005630,1.999521,0.001
37,2.005624,1.999516,0.001
37,2.005624,1.999516,0.001
38,2.005607,1.999501,0.001
38,2.005607,1.999501,0.001
39,2.005584,1.999480,0.001
39,2.005584,1.999480,0.001
40,2.005568,1.999464,0.001
40,2.005568,1.999464,0.001
41,2.005555,1.999451,0.001
41,2.005555,1.999451,0.001
42,2.005531,1.999427,0.001
42,2.005531,1.999427,0.001
43,2.005513,1.999408,0.001
43,2.005513,1.999408,0.001
44,2.005483,1.999378,0.001
44,2.005483,1.999378,0.001
45,2.005470,1.999363,0.001
45,2.005470,1.999363,0.001
46,2.005454,1.999348,0.001
46,2.005454,1.999348,0.001
47,2.005429,1.999322,0.001
47,2.005429,1.999322,0.001
48,2.005409,1.999302,0.001
48,2.005409,1.999302,0.001
49,2.005400,1.999294,0.001
49,2.005400,1.999294,0.001
50,2.005379,1.999274,0.001
50,2.005379,1.999274,0.001
51,2.005356,1.999253,0.001
51,2.005356,1.999253,0.001
52,2.005345,1.999240,0.001
52,2.005345,1.999240,0.001
53,2.005323,1.999218,0.001
53,2.005323,1.999218,0.001
54,2.005311,1.999207,0.001
54,2.005311,1.999207,0.001
55,2.005283,1.999179,0.001
55,2.005283,1.999179,0.001
56,2.005272,1.999168,0.001
56,2.005272,1.999168,0.001
57,2.005267,1.999163,0.001
57,2.005267,1.999163,0.001
58,2.005263,1.999158,0.001
58,2.005263,1.999158,0.001
59,2.005228,1.999121,0.001
59,2.005228,1.999121,0.001
60,2.005187,1.999078,0.001
60,2.005187,1.999078,0.001
61,2.005156,1.999047,0.001
61,2.005156,1.999047,0.001
62,2.005135,1.999027,0.001
62,2.005135,1.999027,0.001
63,2.005102,1.998995,0.001
63,2.005102,1.998995,0.001
64,2.005055,1.998946,0.001
64,2.005055,1.998946,0.001
65,2.005044,1.998935,0.001
65,2.005044,1.998935,0.001
66,2.005040,1.998931,0.001
66,2.005040,1.998931,0.001
67,2.005029,1.998921,0.001
67,2.005029,1.998921,0.001
68,2.005016,1.998906,0.001
68,2.005016,1.998906,0.001
69,2.004979,1.998869,0.001
69,2.004979,1.998869,0.001
70,2.004964,1.998854,0.001
70,2.004964,1.998854,0.001
71,2.004959,1.998849,0.001
71,2.004959,1.998849,0.001
72,2.004917,1.998803,0.001
72,2.004917,1.998803,0.001
73,2.004912,1.998796,0.001
73,2.004912,1.998796,0.001
74,2.004886,1.998772,0.001
74,2.004886,1.998772,0.001
75,2.004838,1.998723,0.001
75,2.004838,1.998723,0.001
76,2.004831,1.998718,0.001
76,2.004831,1.998718,0.001
77,2.004796,1.998684,0.001
77,2.004796,1.998684,0.001
78,2.004786,1.998672,0.001
78,2.004786,1.998672,0.001
79,2.004768,1.998654,0.001
79,2.004768,1.998654,0.001
80,2.004755,1.998642,0.001
80,2.004755,1.998642,0.001
81,2.004714,1.998603,0.001
81,2.004714,1.998603,0.001
82,2.004703,1.998592,0.001
82,2.004703,1.998592,0.001
83,2.004681,1.998571,0.001
83,2.004681,1.998571,0.001
84,2.004677,1.998566,0.001
84,2.004677,1.998566,0.001
85,2.004667,1.998556,0.001
85,2.004667,1.998556,0.001
86,2.004610,1.998498,0.001
86,2.004610,1.998498,0.001
87,2.004584,1.998472,0.001
87,2.004584,1.998472,0.001
88,2.004573,1.998462,0.001
88,2.004573,1.998462,0.001
89,2.004551,1.998439,0.001
89,2.004551,1.998439,0.001
90,2.004508,1.998397,0.001
90,2.004508,1.998397,0.001
91,2.004471,1.998357,0.001
91,2.004471,1.998357,0.001
92,2.004453,1.998338,0.001
92,2.004453,1.998338,0.001
93,2.004407,1.998293,0.001
93,2.004407,1.998293,0.001
94,2.004383,1.998268,0.001
94,2.004383,1.998268,0.001
95,2.004350,1.998236,0.001
95,2.004350,1.998236,0.001
96,2.004315,1.998197,0.001
96,2.004315,1.998197,0.001
97,2.004301,1.998184,0.001
97,2.004301,1.998184,0.001
98,2.004295,1.998178,0.001
98,2.004295,1.998178,0.001
99,2.004277,1.998159,0.001
99,2.004277,1.998159,0.001
100,2.004256,1.998139,0.001
100,2.004256,1.998139,0.001
101,2.004239,1.998121,0.001
101,2.004239,1.998121,0.001
102,2.004152,1.998033,0.001
102,2.004152,1.998033,0.001
103,2.004143,1.998025,0.001
103,2.004143,1.998025,0.001
104,2.004131,1.998013,0.001
104,2.004131,1.998013,0.001
105,2.004107,1.997989,0.001
105,2.004107,1.997989,0.001
106,2.004080,1.997966,0.001
106,2.004080,1.997966,0.001
107,2.004067,1.997952,0.001
107,2.004067,1.997952,0.001
108,2.004055,1.997941,0.001
108,2.004055,1.997941,0.001
109,2.004048,1.997934,0.001
109,2.004048,1.997934,0.001
110,2.004042,1.997929,0.001
110,2.004042,1.997929,0.001
111,2.004032,1.997920,0.001
111,2.004032,1.997920,0.001
112,2.004017,1.997905,0.001
112,2.004017,1.997905,0.001
113,2.003993,1.997885,0.001
113,2.003993,1.997885,0.001
114,2.003970,1.997862,0.001
114,2.003970,1.997862,0.001
115,2.003946,1.997838,0.001
115,2.003946,1.997838,0.001
116,2.003937,1.997830,0.001
116,2.003937,1.997830,0.001
117,2.003893,1.997786,0.001
117,2.003893,1.997786,0.001
118,2.003871,1.997765,0.001
118,2.003871,1.997765,0.001
119,2.003858,1.997753,0.001
119,2.003858,1.997753,0.001
120,2.003839,1.997735,0.001
120,2.003839,1.997735,0.001
121,2.003821,1.997717,0.001
121,2.003821,1.997717,0.001
122,2.003790,1.997687,0.001
122,2.003790,1.997687,0.001
123,2.003783,1.997681,0.001
123,2.003783,1.997681,0.001
124,2.003769,1.997665,0.001
124,2.003769,1.997665,0.001
125,2.003754,1.997649,0.001
125,2.003754,1.997649,0.001
126,2.003730,1.997622,0.001
126,2.003730,1.997622,0.001
127,2.003704,1.997595,0.001
127,2.003704,1.997595,0.001
128,2.003694,1.997586,0.001
128,2.003694,1.997586,0.001
129,2.003682,1.997574,0.001
129,2.003682,1.997574,0.001
130,2.003675,1.997569,0.001
130,2.003675,1.997569,0.001
131,2.003667,1.997559,0.001
131,2.003667,1.997559,0.001
132,2.003652,1.997543,0.001
132,2.003652,1.997543,0.001
133,2.003641,1.997531,0.001
133,2.003641,1.997531,0.001
134,2.003626,1.997517,0.001
134,2.003626,1.997517,0.001
135,2.003608,1.997499,0.001
135,2.003608,1.997499,0.001
136,2.003603,1.997493,0.001
136,2.003603,1.997493,0.001
137,2.003587,1.997477,0.001
137,2.003587,1.997477,0.001
138,2.003555,1.997445,0.001
138,2.003555,1.997445,0.001
139,2.003547,1.997437,0.001
139,2.003547,1.997437,0.001
140,2.003535,1.997425,0.001
140,2.003535,1.997425,0.001
141,2.003528,1.997418,0.001
141,2.003528,1.997418,0.001
142,2.003505,1.997396,0.001
142,2.003505,1.997396,0.001
143,2.003499,1.997389,0.001
143,2.003499,1.997389,0.001
144,2.003490,1.997380,0.001
144,2.003490,1.997380,0.001
145,2.003475,1.997364,0.001
145,2.003475,1.997364,0.001
146,2.003448,1.997336,0.001
146,2.003448,1.997336,0.001
147,2.003438,1.997325,0.001
147,2.003438,1.997325,0.001
148,2.003423,1.997313,0.001
148,2.003423,1.997313,0.001
149,2.003410,1.997299,0.001
149,2.003410,1.997299,0.001
