round,train_loss,eval_loss,eta
0,2.006354,2.000237,0.001
1,2.006338,2.000219,0.001
1,2.006338,2.000219,0.00105
2,2.006338,2.000219,0.00105
3,2.006321,2.000203,0.00105
3,2.006321,2.000203,0.0011025
4,2.006321,2.000203,0.0011025
5,2.006313,2.000195,0.0011025
5,2.006313,2.000195,0.0011025
6,2.006313,2.000195,0.00105
7,2.006294,2.000177,0.00105
7,2.006294,2.000177,0.0011025
8,2.006294,2.000177,0.0011025
9,2.006282,2.000161,0.00115763
9,2.006282,2.000161,0.00121551
10,2.006273,2.000153,0.00121551
10,2.006273,2.000153,0.00121551
11,2.006273,2.000153,0.00121551
12,2.006254,2.000133,0.00121551
12,2.006254,2.000133,0.00121551
13,2.006254,2.000133,0.00127628
14,2.006229,2.000108,0.00127628
14,2.006229,2.000108,0.00127628
15,2.006229,2.000108,0.0013401
16,2.006217,2.000095,0.0013401
16,2.006217,2.000095,0.0013401
17,2.006217,2.000095,0.00127628
18,2.006205,2.000084,0.00127628
18,2.006205,2.000084,0.0013401
19,2.006205,2.000084,0.0013401
20,2.006184,2.000064,0.0014071
20,2.006184,2.000064,0.00147746
21,2.006184,2.000064,0.00147746
22,2.006169,2.000048,0.00147746
22,2.006169,2.000048,0.00147746
23,2.006169,2.000048,0.00147746
24,2.006155,2.000032,0.00147746
24,2.006155,2.000032,0.00155133
25,2.006155,2.000032,0.00147746
26,2.006145,2.000024,0.00147746
26,2.006145,2.000024,0.00155133
27,2.006145,2.000024,0.00147746
27,2.006145,2.000024,0.00147746
28,2.006145,2.000024,0.0014071
29,2.006082,1.999957,0.0014071
29,2.006082,1.999957,0.00147746
30,2.006082,1.999957,0.0014071
31,2.006068,1.999943,0.0014071
31,2.006068,1.999943,0.00147746
32,2.006068,1.999943,0.0014071
33,2.006061,1.999934,0.0014071
33,2.006061,1.999934,0.0014071
34,2.006061,1.999934,0.0014071
35,2.006034,1.999906,0.0014071
35,2.006034,1.999906,0.00147746
36,2.006034,1.999906,0.00147746
37,2.005953,1.999828,0.00155133
37,2.005953,1.999828,0.00162889
38,2.005953,1.999828,0.00155133
38,2.005953,1.999828,0.00155133
39,2.005953,1.999828,0.00147746
40,2.005918,1.999793,0.00147746
40,2.005918,1.999793,0.00155133
41,2.005918,1.999793,0.00155133
42,2.005898,1.999776,0.00162889
42,2.005898,1.999776,0.00171034
43,2.005898,1.999776,0.00162889
44,2.005847,1.999725,0.00162889
44,2.005847,1.999725,0.00162889
45,2.005847,1.999725,0.00162889
46,2.005803,1.999685,0.00162889
46,2.005803,1.999685,0.00171034
47,2.005803,1.999685,0.00171034
48,2.005756,1.999641,0.00179586
48,2.005756,1.999641,0.00188565
49,2.005756,1.999641,0.00179586
49,2.005756,1.999641,0.00179586
50,2.005756,1.999641,0.00179586
51,2.005723,1.999607,0.00188565
51,2.005723,1.999607,0.00197993
52,2.005723,1.999607,0.00197993
53,2.005691,1.999576,0.00207893
53,2.005691,1.999576,0.00218287
54,2.005691,1.999576,0.00218287
54,2.005691,1.999576,0.00218287
55,2.005691,1.999576,0.00218287
56,2.005665,1.999550,0.00218287
56,2.005665,1.999550,0.00229202
57,2.005665,1.999550,0.00218287
58,2.005612,1.999500,0.00218287
58,2.005612,1.999500,0.00229202
59,2.005612,1.999500,0.00229202
60,2.005573,1.999460,0.00240662
60,2.005573,1.999460,0.00240662
61,2.005573,1.999460,0.00240662
62,2.005488,1.999370,0.00240662
62,2.005488,1.999370,0.00252695
63,2.005488,1.999370,0.00252695
64,2.005441,1.999324,0.0026533
64,2.005441,1.999324,0.00278596
65,2.005441,1.999324,0.00278596
65,2.005441,1.999324,0.00278596
66,2.005441,1.999324,0.00278596
67,2.005390,1.999276,0.00278596
67,2.005390,1.999276,0.00292526
68,2.005390,1.999276,0.00292526
69,2.005353,1.999239,0.00307152
69,2.005353,1.999239,0.0032251
70,2.005353,1.999239,0.00307152
71,2.005336,1.999226,0.00307152
71,2.005336,1.999226,0.00307152
72,2.005336,1.999226,0.00307152
73,2.005293,1.999181,0.00307152
73,2.005293,1.999181,0.0032251
74,2.005293,1.999181,0.0032251
75,2.005264,1.999148,0.00338635
75,2.005264,1.999148,0.00355567
76,2.005264,1.999148,0.00338635
76,2.005264,1.999148,0.00338635
77,2.005264,1.999148,0.00338635
78,2.005240,1.999127,0.00355567
78,2.005240,1.999127,0.00373346
