round,train_loss,eval_loss,eta
0,2.006354,2.000237,0.001
0,2.006354,2.000237,0.001
1,2.006354,2.000237,0.001
2,2.006324,2.000205,0.001
2,2.006324,2.000205,0.00105
3,2.006324,2.000205,0.0011025
4,2.006298,2.000179,0.0011025
4,2.006298,2.000179,0.00105
5,2.006298,2.000179,0.001
6,2.006289,2.000167,0.001
0,2.006289,2.000167,0.001
0,2.006289,2.000167,0.001
1,2.006289,2.000167,0.000952381
2,2.006278,2.000158,0.000952381
2,2.006278,2.000158,0.000907029
3,2.006278,2.000158,0.000863838
3,2.006278,2.000158,0.000863838
4,2.006278,2.000158,0.000863838
5,2.006264,2.000142,0.000907029
5,2.006264,2.000142,0.000952381
6,2.006264,2.000142,0.000952381
6,2.006264,2.000142,0.000952381
7,2.006264,2.000142,0.001
8,2.006261,2.000139,0.00105
8,2.006261,2.000139,0.0011025
9,2.006261,2.000139,0.00105
10,2.006251,2.000129,0.00105
10,2.006251,2.000129,0.001
11,2.006239,2.000117,0.001
11,2.006239,2.000117,0.00105
12,2.006239,2.000117,0.001
13,2.006233,2.000110,0.001
13,2.006233,2.000110,0.000952381
14,2.006215,2.000093,0.000952381
14,2.006215,2.000093,0.001
15,2.006215,2.000093,0.000952381
16,2.006206,2.000082,0.000952381
16,2.006206,2.000082,0.001
17,2.006206,2.000082,0.000952381
17,2.006206,2.000082,0.000952381
18,2.006206,2.000082,0.000907029
19,2.006181,2.000056,0.000907029
19,2.006181,2.000056,0.000863838
20,2.006181,2.000056,0.000822702
21,2.006144,2.000018,0.000822702
21,2.006144,2.000018,0.000822702
22,2.006132,2.000007,0.000863838
22,2.006132,2.000007,0.000907029
23,2.006132,2.000007,0.000863838
24,2.006110,1.999985,0.000863838
24,2.006110,1.999985,0.000822702
25,2.006105,1.999980,0.000822702
25,2.006105,1.999980,0.000863838
26,2.006105,1.999980,0.000822702
27,2.006095,1.999968,0.000822702
27,2.006095,1.999968,0.000863838
28,2.006095,1.999968,0.000822702
28,2.006095,1.999968,0.000822702
29,2.006095,1.999968,0.000822702
30,2.006088,1.999962,0.000863838
30,2.006088,1.999962,0.000907029
31,2.006088,1.999962,0.000907029
32,2.006053,1.999930,0.000952381
32,2.006053,1.999930,0.000907029
33,2.006029,1.999905,0.000907029
33,2.006029,1.999905,0.000952381
34,2.006029,1.999905,0.000907029
35,2.006000,1.999878,0.000907029
35,2.006000,1.999878,0.000952381
36,2.005987,1.999864,0.000952381
36,2.005987,1.999864,0.001
37,2.005987,1.999864,0.000952381
38,2.005985,1.999861,0.000952381
38,2.005985,1.999861,0.000907029
39,2.005985,1.999861,0.000907029
39,2.005985,1.999861,0.000907029
40,2.005985,1.999861,0.000907029
41,2.005958,1.999835,0.000907029
41,2.005958,1.999835,0.000952381
42,2.005958,1.999835,0.000952381
43,2.005931,1.999808,0.001
43,2.005931,1.999808,0.000952381
44,2.005909,1.999786,0.000952381
44,2.005909,1.999786,0.001
45,2.005909,1.999786,0.000952381
46,2.005898,1.999775,0.000952381
46,2.005898,1.999775,0.000907029
47,2.005898,1.999775,0.000907029
47,2.005898,1.999775,0.000907029
48,2.005898,1.999775,0.000952381
49,2.005880,1.999758,0.001
49,2.005880,1.999758,0.00105
50,2.005880,1.999758,0.00105
51,2.005852,1.999731,0.0011025
51,2.005852,1.999731,0.00105
52,2.005816,1.999693,0.00105
52,2.005816,1.999693,0.0011025
53,2.005816,1.999693,0.0011025
54,2.005795,1.999673,0.00115763
54,2.005795,1.999673,0.00121551
55,2.005780,1.999659,0.00121551
55,2.005780,1.999659,0.00127628
56,2.005780,1.999659,0.00127628
57,2.005759,1.999639,0.0013401
57,2.005759,1.999639,0.00127628
58,2.005759,1.999639,0.00127628
58,2.005759,1.999639,0.00127628
59,2.005759,1.999639,0.0013401
60,2.005720,1.999596,0.0014071
60,2.005720,1.999596,0.0013401
61,2.005720,1.999596,0.00127628
62,2.005683,1.999557,0.00127628
62,2.005683,1.999557,0.00127628
63,2.005669,1.999541,0.0013401
63,2.005669,1.999541,0.0013401
64,2.005669,1.999541,0.0013401
65,2.005641,1.999515,0.0014071
65,2.005641,1.999515,0.00147746
66,2.005596,1.999466,0.00147746
66,2.005596,1.999466,0.00147746
67,2.005596,1.999466,0.00155133
68,2.005582,1.999451,0.00155133
68,2.005582,1.999451,0.00155133
69,2.005582,1.999451,0.00162889
70,2.005540,1.999411,0.00162889
70,2.005540,1.999411,0.00171034
71,2.005540,1.999411,0.00171034
72,2.005487,1.999356,0.00179586
72,2.005487,1.999356,0.00188565
73,2.005487,1.999356,0.00197993
74,2.005466,1.999333,0.00197993
74,2.005466,1.999333,0.00197993
75,2.005466,1.999333,0.00188565
76,2.005428,1.999296,0.00188565
76,2.005428,1.999296,0.00179586
77,2.005428,1.999296,0.00179586
78,2.005360,1.999224,0.00188565
78,2.005360,1.999224,0.00179586
79,2.005360,1.999224,0.00179586
80,2.005330,1.999196,0.00188565
80,2.005330,1.999196,0.00179586
81,2.005330,1.999196,0.00179586
82,2.005293,1.999161,0.00188565
82,2.005293,1.999161,0.00188565
83,2.005293,1.999161,0.00197993
84,2.005238,1.999106,0.00207893
84,2.005238,1.999106,0.00197993
85,2.005238,1.999106,0.00197993
86,2.005208,1.999081,0.00207893
86,2.005208,1.999081,0.00197993
87,2.005208,1.999081,0.00197993
88,2.005150,1.999022,0.00207893
88,2.005150,1.999022,0.00197993
89,2.005150,1.999022,0.00188565
89,2.005150,1.999022,0.00188565
90,2.005150,1.999022,0.00179586
91,2.005079,1.998947,0.00179586
91,2.005079,1.998947,0.00171034
92,2.005079,1.998947,0.00171034
93,2.005021,1.998888,0.00179586
93,2.005021,1.998888,0.00179586
94,2.005009,1.998875,0.00188565
94,2.005009,1.998875,0.00197993
95,2.005009,1.998875,0.00197993
96,2.004998,1.998865,0.00207893
96,2.004998,1.998865,0.00197993
97,2.004959,1.998823,0.00197993
97,2.004959,1.998823,0.00207893
98,2.004959,1.998823,0.00197993
99,2.004897,1.998763,0.00197993
99,2.004897,1.998763,0.00188565
100,2.004897,1.998763,0.00188565
100,2.004897,1.998763,0.00188565
101,2.004897,1.998763,0.00188565
102,2.004879,1.998744,0.00188565
102,2.004879,1.998744,0.00179586
103,2.004879,1.998744,0.00171034
104,2.004854,1.998719,0.00171034
104,2.004854,1.998719,0.00171034
105,2.004854,1.998719,0.00179586
106,2.004828,1.998693,0.00188565
106,2.004828,1.998693,0.00179586
107,2.004828,1.998693,0.00171034
108,2.004799,1.998662,0.00171034
108,2.004799,1.998662,0.00171034
109,2.004799,1.998662,0.00179586
110,2.004777,1.998640,0.00188565
110,2.004777,1.998640,0.00197993
111,2.004777,1.998640,0.00188565
111,2.004777,1.998640,0.00188565
112,2.004777,1.998640,0.00179586
113,2.004703,1.998567,0.00179586
113,2.004703,1.998567,0.00188565
114,2.004703,1.998567,0.00179586
115,2.004698,1.998563,0.00179586
115,2.004698,1.998563,0.00179586
116,2.004652,1.998517,0.00188565
116,2.004652,1.998517,0.00197993
117,2.004652,1.998517,0.00188565
118,2.004620,1.998483,0.00188565
118,2.004620,1.998483,0.00179586
119,2.004590,1.998452,0.00179586
119,2.004590,1.998452,0.00188565
120,2.004590,1.998452,0.00188565
121,2.004569,1.998431,0.00197993
121,2.004569,1.998431,0.00188565
122,2.004569,1.998431,0.00179586
122,2.004569,1.998431,0.00179586
123,2.004569,1.998431,0.00179586
124,2.004542,1.998404,0.00188565
124,2.004542,1.998404,0.00197993
125,2.004542,1.998404,0.00188565
126,2.004495,1.998359,0.00188565
126,2.004495,1.998359,0.00179586
127,2.004443,1.998305,0.00179586
127,2.004443,1.998305,0.00188565
128,2.004443,1.998305,0.00179586
129,2.004405,1.998273,0.00179586
129,2.004405,1.998273,0.00171034
130,2.004365,1.998232,0.00171034
130,2.004365,1.998232,0.00179586
131,2.004365,1.998232,0.00179586
132,2.004355,1.998220,0.00179586
132,2.004355,1.998220,0.00188565
133,2.004355,1.998220,0.00188565
133,2.004355,1.998220,0.00188565
134,2.004355,1.998220,0.00188565
135,2.004338,1.998204,0.00188565
135,2.004338,1.998204,0.00197993
136,2.004338,1.998204,0.00197993
137,2.004288,1.998152,0.00197993
137,2.004288,1.998152,0.00197993
138,2.004268,1.998132,0.00207893
138,2.004268,1.998132,0.00218287
139,2.004268,1.998132,0.00218287
140,2.004228,1.998092,0.00229202
140,2.004228,1.998092,0.00229202
141,2.004200,1.998061,0.00229202
141,2.004200,1.998061,0.00229202
142,2.004200,1.998061,0.00229202
143,2.004151,1.998010,0.00229202
143,2.004151,1.998010,0.00240662
144,2.004151,1.998010,0.00252695
144,2.004151,1.998010,0.00252695
145,2.004151,1.998010,0.00252695
146,2.004105,1.997966,0.0026533
146,2.004105,1.997966,0.0026533
147,2.004105,1.997966,0.0026533
148,2.004076,1.997937,0.00278596
148,2.004076,1.997937,0.00278596
149,2.004041,1.997901,0.00278596
149,2.004041,1.997901,0.00278596
150,2.004041,1.997901,0.00278596
151,2.004012,1.997874,0.00292526
151,2.004012,1.997874,0.00307152
152,2.003997,1.997862,0.00307152
152,2.003997,1.997862,0.0032251
153,2.003997,1.997862,0.00307152
154,2.003932,1.997801,0.00307152
154,2.003932,1.997801,0.0032251
155,2.003932,1.997801,0.0032251
156,2.003863,1.997733,0.00338635
156,2.003863,1.997733,0.00338635
157,2.003863,1.997733,0.00355567
158,2.003792,1.997663,0.00373346
158,2.003792,1.997663,0.00355567
159,2.003792,1.997663,0.00355567
160,2.003757,1.997632,0.00373346
160,2.003757,1.997632,0.00373346
161,2.003715,1.997587,0.00392013
161,2.003715,1.997587,0.00411614
162,2.003715,1.997587,0.00392013
163,2.003606,1.997488,0.00392013
163,2.003606,1.997488,0.00411614
164,2.003525,1.997403,0.00411614
164,2.003525,1.997403,0.00432194
165,2.003525,1.997403,0.00411614
166,2.003422,1.997303,0.00411614
166,2.003422,1.997303,0.00392013
167,2.003422,1.997303,0.00373346
167,2.003422,1.997303,0.00373346
168,2.003422,1.997303,0.00373346
169,2.003243,1.997124,0.00392013
169,2.003243,1.997124,0.00411614
170,2.003243,1.997124,0.00411614
171,2.003159,1.997045,0.00432194
171,2.003159,1.997045,0.00453804
172,2.003045,1.996944,0.00453804
172,2.003045,1.996944,0.00476494
173,2.003045,1.996944,0.00476494
174,2.003014,1.996914,0.00500319
174,2.003014,1.996914,0.00525335
