round,train_loss,eval_loss,eta
0,2.006354,2.000237,0.001
1,2.006342,2.000222,0.001
2,2.006325,2.000203,0.00105
3,2.006302,2.000180,0.0011025
4,2.006277,2.000155,0.00115763
5,2.006266,2.000143,0.00121551
6,2.006245,2.000123,0.00127628
7,2.006211,2.000092,0.0013401
8,2.006199,2.000080,0.0014071
9,2.006181,2.000058,0.00147746
10,2.006147,2.000024,0.00155133
11,2.006086,1.999964,0.00162889
12,2.006059,1.999939,0.00171034
13,2.006011,1.999889,0.00179586
14,2.005989,1.999866,0.00188565
15,2.005981,1.999857,0.00197993
16,2.005971,1.999848,0.00197993
17,2.005888,1.999772,0.00197993
18,2.005808,1.999695,0.00207893
19,2.005779,1.999666,0.00218287
20,2.005728,1.999613,0.00229202
21,2.005667,1.999549,0.00240662
22,2.005645,1.999526,0.00252695
23,2.005579,1.999465,0.0026533
24,2.005513,1.999398,0.00278596
25,2.005358,1.999245,0.00292526
26,2.005311,1.999198,0.00307152
27,2.005294,1.999180,0.0032251
28,2.005253,1.999141,0.00338635
29,2.005065,1.998961,0.00355567
30,2.004986,1.998896,0.00373346
31,2.004942,1.998849,0.00392013
32,2.004868,1.998780,0.00411614
33,2.004818,1.998729,0.00432194
34,2.004734,1.998639,0.00453804
35,2.004577,1.998497,0.00476494
36,2.004533,1.998454,0.00500319
37,2.004494,1.998425,0.00525335
38,2.004407,1.998345,0.00551602
39,2.004273,1.998223,0.00579182
40,2.004177,1.998125,0.00608141
41,2.004097,1.998051,0.00638548
42,2.003937,1.997880,0.00670475
43,2.003809,1.997753,0.00703999
44,2.003591,1.997531,0.00739199
45,2.003487,1.997423,0.00776159
46,2.003350,1.997288,0.00814967
47,2.003140,1.997072,0.00855715
48,2.002962,1.996899,0.00898501
49,2.002888,1.996821,0.00943426
50,2.002670,1.996617,0.00990597
51,2.002442,1.996405,0.0104013
52,2.002314,1.996261,0.0109213
53,2.002060,1.996005,0.0114674
54,2.001928,1.995870,0.0120408
55,2.001578,1.995532,0.0126428
56,2.001435,1.995386,0.0132749
57,2.001355,1.995309,0.0139387
58,2.001295,1.995235,0.0146356
59,2.000754,1.994675,0.0153674
60,2.000104,1.993998,0.0161358
61,1.999602,1.993486,0.0169426
62,1.999255,1.993158,0.0177897
63,1.998623,1.992531,0.0186792
64,1.997742,1.991634,0.0196131
65,1.997499,1.991387,0.0205938
66,1.997415,1.991300,0.0216235
67,1.997167,1.991059,0.0227047
68,1.996840,1.990703,0.0238399
69,1.995980,1.989835,0.0250319
70,1.995638,1.989490,0.0262835
71,1.995490,1.989329,0.0275977
72,1.994233,1.987957,0.0289775
73,1.994052,1.987754,0.0304264
74,1.993242,1.986971,0.0319477
75,1.991615,1.985377,0.0335451
76,1.991424,1.985158,0.0352224
77,1.989786,1.983547,0.0369835
78,1.989388,1.983186,0.0388327
79,1.988714,1.982543,0.0407743
80,1.987983,1.981822,0.042813
81,1.986652,1.980537,0.0449537
82,1.986123,1.979997,0.0472014
83,1.984960,1.978905,0.0495614
84,1.984608,1.978533,0.0520395
85,1.983970,1.977909,0.0546415
86,1.980448,1.974361,0.0573736
87,1.979114,1.973026,0.0602422
88,1.978660,1.972579,0.0632544
89,1.977123,1.971069,0.0664171
90,1.974795,1.968733,0.0697379
91,1.971444,1.965233,0.0732248
92,1.969865,1.963595,0.0768861
93,1.966568,1.960425,0.0807304
94,1.964782,1.958594,0.0847669
95,1.962389,1.956150,0.0890052
96,1.959579,1.953087,0.0934555
97,1.957898,1.951569,0.0981283
98,1.956811,1.950469,0.1
99,1.955267,1.948947,0.1
100,1.953848,1.947573,0.1
101,1.952305,1.945878,0.1
102,1.941273,1.935170,0.1
103,1.940397,1.934369,0.1
104,1.939591,1.933487,0.1
105,1.937341,1.931343,0.1
106,1.934816,1.929109,0.1
107,1.933425,1.927632,0.1
108,1.932383,1.926592,0.1
109,1.931728,1.925941,0.1
110,1.931281,1.925520,0.1
111,1.930031,1.924315,0.1
112,1.929037,1.923438,0.1
113,1.927090,1.921753,0.1
114,1.924961,1.919532,0.1
115,1.922206,1.916764,0.1
116,1.921375,1.916025,0.1
117,1.919080,1.913700,0.1
118,1.917275,1.912017,0.1
119,1.916031,1.910847,0.1
120,1.914009,1.908947,0.1
121,1.911885,1.906856,0.1
122,1.909480,1.904557,0.1
123,1.909107,1.904211,0.1
124,1.907984,1.902976,0.1
125,1.906355,1.901138,0.1
126,1.904244,1.898919,0.1
